,Survived,Pclass,Age,Fare,Familiy_Size,Sex=male,Embarked=Q,Embarked=S,Title=rareTitle,marital_status=no,marital_status=yes,Deck=B,Deck=C,Deck=D,Deck=E,Deck=F,Deck=G,Deck=T,Deck=unknown
331,0,1,45.5,28.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
733,0,2,23.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
382,0,3,32.0,7.925,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
704,0,3,26.0,7.8542,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
813,0,3,6.0,31.275,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1
118,0,1,24.0,247.5208,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
536,0,1,45.0,26.55,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
361,0,2,29.0,27.7208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
55,1,1,37.0,35.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
865,1,2,42.0,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
595,0,3,36.0,24.15,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
239,0,2,33.0,12.275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
721,0,3,17.0,7.0542,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
81,1,3,29.0,9.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
259,1,2,50.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
486,1,1,35.0,90.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
716,1,1,38.0,227.525,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
800,0,2,34.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
781,1,1,17.0,57.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
542,0,3,11.0,31.275,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1
326,0,3,61.0,6.2375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
534,0,3,30.0,8.6625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
535,1,2,7.0,26.25,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1
483,1,3,63.0,9.5875,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
762,1,3,20.0,7.2292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
533,1,3,25.0,22.3583,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
713,0,3,29.0,9.4833,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
390,1,1,36.0,120.0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0
495,0,3,25.0,14.4583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
482,0,3,50.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
377,0,1,27.0,211.5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
365,0,3,30.0,7.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
412,1,1,33.0,90.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
468,0,3,25.0,7.725,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
409,0,3,25.0,25.4667,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7,0,3,2.0,21.075,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1
580,1,2,25.0,30.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1
155,0,1,51.0,61.3792,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
880,1,2,25.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
425,0,3,25.0,7.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
101,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
199,0,2,24.0,13.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
424,0,3,18.0,20.2125,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
298,1,1,37.0,30.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
884,0,3,25.0,7.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
247,1,2,24.0,14.5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1
478,0,3,22.0,7.5208,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
305,1,1,0.92,151.55,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0
316,1,2,24.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2,1,3,26.0,7.925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
405,0,2,34.0,21.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
742,1,1,21.0,262.375,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0
260,0,3,25.0,7.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
367,1,3,25.0,7.2292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
158,0,3,25.0,8.6625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
554,1,3,22.0,7.775,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
829,1,1,62.0,80.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
677,1,3,18.0,9.8417,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
380,1,1,42.0,227.525,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
626,0,2,57.0,12.35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
302,0,3,19.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
432,1,2,42.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
522,0,3,25.0,7.225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
404,0,3,20.0,8.6625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
843,0,3,34.5,6.4375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
355,0,3,28.0,9.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
464,0,3,25.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
753,0,3,23.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
212,0,3,22.0,7.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
449,1,1,52.0,30.5,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
79,1,3,30.0,12.475,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
148,0,2,36.5,26.0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
428,0,3,25.0,7.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
60,0,3,22.0,7.2292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
660,1,1,50.0,133.65,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
804,1,3,27.0,6.975,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
588,0,3,22.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
765,1,1,51.0,77.9583,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
265,0,2,36.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
133,1,2,29.0,26.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
708,1,1,22.0,151.55,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
544,0,1,50.0,106.425,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
346,1,2,40.0,13.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
821,1,3,27.0,8.6625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
633,0,1,37.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
456,0,1,65.0,26.55,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
500,0,3,17.0,8.6625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
430,1,1,28.0,26.55,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
445,1,1,4.0,81.8583,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
650,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
172,1,3,1.0,11.1333,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1
450,0,2,36.0,27.75,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
314,0,2,43.0,26.25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
332,0,1,38.0,153.4625,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
801,1,2,31.0,26.25,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1
90,0,3,29.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
834,0,3,18.0,8.3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
181,0,2,29.0,15.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
581,1,1,39.0,110.8833,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
795,0,2,39.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
69,0,3,26.0,8.6625,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
131,0,3,20.0,7.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
334,1,1,37.0,133.65,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
597,0,3,49.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
135,0,2,23.0,15.0458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
164,0,3,1.0,39.6875,5,1,0,1,1,0,0,0,0,0,0,0,0,0,1
28,1,3,25.0,7.8792,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
783,0,3,25.0,23.45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
193,1,2,3.0,26.0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0
869,1,3,4.0,11.1333,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
715,0,3,19.0,7.65,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
525,0,3,40.5,7.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
381,1,3,1.0,15.7417,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
140,0,3,25.0,15.2458,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
173,0,3,21.0,7.925,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6,0,1,54.0,51.8625,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
718,0,3,25.0,15.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
685,0,2,25.0,41.5792,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,0,3,26.0,14.4542,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
882,0,3,22.0,10.5167,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
328,1,3,31.0,20.525,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1
453,1,1,49.0,89.1042,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
145,0,2,19.0,36.75,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
234,0,2,24.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
220,1,3,16.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
370,1,1,25.0,55.4417,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
811,0,3,39.0,24.15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
132,0,3,47.0,14.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
694,0,1,60.0,26.55,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
864,0,2,24.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
185,0,1,37.0,50.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,0,2,27.0,21.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
547,1,2,29.0,13.8625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
108,0,3,38.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
603,0,3,44.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
56,1,2,21.0,10.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
394,1,3,24.0,16.7,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
706,1,2,45.0,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
549,1,2,8.0,36.75,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
24,0,3,8.0,21.075,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1
351,0,1,37.0,35.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
429,1,3,32.0,8.05,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
434,0,1,50.0,55.9,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
51,0,3,21.0,7.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
526,1,2,50.0,10.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
816,0,3,23.0,7.925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
569,1,3,32.0,7.8542,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
264,0,3,25.0,7.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
436,0,3,21.0,34.375,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1
613,0,3,25.0,7.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
693,0,3,25.0,7.225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
352,0,3,15.0,7.2292,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,3,31.0,18.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
666,0,2,25.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
582,0,2,54.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
83,0,1,28.0,47.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
61,1,1,38.0,80.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
272,1,2,41.0,19.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
285,0,3,33.0,8.6625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
695,0,2,52.0,13.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
746,0,3,16.0,20.25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
12,0,3,20.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
182,0,3,9.0,31.3875,6,1,0,1,1,0,0,0,0,0,0,0,0,0,1
444,1,3,25.0,8.1125,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
552,0,3,25.0,7.8292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
223,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
513,1,1,54.0,59.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
628,0,3,26.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
587,1,1,60.0,79.2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
692,1,3,25.0,56.4958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
523,1,1,44.0,57.9792,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
664,1,3,20.0,7.925,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
176,0,3,25.0,25.4667,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1
841,0,2,16.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
678,0,3,43.0,46.9,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1
163,0,3,17.0,8.6625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
248,1,1,37.0,52.5542,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
570,1,2,62.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
787,0,3,8.0,29.125,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1
74,1,3,32.0,56.4958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
113,0,3,20.0,9.825,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
635,1,2,28.0,13.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
501,0,3,21.0,7.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
104,0,3,37.0,7.925,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
114,0,3,17.0,14.4583,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
368,1,3,25.0,7.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
92,0,1,46.0,61.175,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
497,0,3,25.0,15.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
89,0,3,24.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
336,0,1,29.0,66.6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
879,1,1,56.0,83.1583,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
817,0,2,31.0,37.0042,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
828,1,3,25.0,7.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
543,1,2,32.0,26.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
548,0,3,33.0,20.525,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
94,0,3,59.0,7.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
11,1,1,58.0,26.55,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
431,1,3,25.0,16.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
43,1,2,3.0,41.5792,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,0,3,25.0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
329,1,1,16.0,57.9792,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
167,0,3,45.0,27.9,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1
779,1,1,43.0,211.3375,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
537,1,1,30.0,106.425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
735,0,3,28.5,16.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
499,0,3,24.0,7.7958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
178,0,2,30.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
583,0,1,36.0,40.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
784,0,3,25.0,7.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
593,0,3,25.0,7.75,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1
177,0,1,50.0,28.7125,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
644,1,3,0.75,19.2583,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
710,1,1,24.0,49.5042,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
615,1,2,24.0,65.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1
383,1,1,35.0,52.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
257,1,1,30.0,86.5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
734,0,2,23.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
335,0,3,25.0,7.8958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
551,0,2,27.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
15,1,2,55.0,16.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3,1,1,35.0,53.1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
411,0,3,25.0,6.8583,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
256,1,1,37.0,79.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
451,0,3,25.0,19.9667,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
473,1,2,23.0,13.7917,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
697,1,3,25.0,7.7333,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
393,1,1,23.0,113.275,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
222,0,3,51.0,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
506,1,2,33.0,26.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1
567,0,3,29.0,21.075,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1
420,0,3,25.0,7.8958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
324,0,3,25.0,69.55,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1
530,1,2,2.0,26.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1
